Car_Id,Company,Model,Variant,FuelType,Colour,Kilometer driven,BodyStyle,TransmissionType,Registered_city,Registered_state,ManufactureDate,ModelYear,Manufacturing price,Reason,Age
536524,MARUTI SUZUKI,ALTO K10,VXI AMT,PETROL,Red,48327,HATCHBACK,Manual,faridabad,haryana,01-05-2015,2015,219899,High traffic urban area,54
536562,MARUTI SUZUKI,ALTO K10,VXI AMT,PETROL,White,24931,HATCHBACK,Manual,bhiwandi,maharashtra,01-12-2017,2017,607799,High traffic urban area,36
537015,FORD,ASPIRE,TITANIUM 1.2 TI-VCT O,PETROL,White,29060,SEDAN,Manual,mumbai east,maharashtra,01-12-2016,2016,430699,High traffic urban area,54
537161,MARUTI SUZUKI,BALENO,DELTA,PETROL,Metallic Silver,8859,HATCHBACK,Manual,surat,gujarat,01-03-2021,2021,531499,Pandemic,35
537759,HYUNDAI,VERNA,1.6 CRDI SX,DIESEL,Grey,84709,SEDAN,Manual,dharwad,karnataka,01-05-2013,2013,239999,High traffic urban area,35
537765,HYUNDAI,VERNA,1.6 VTVT S,PETROL,Red,55691,SEDAN,Manual,ahmedabad,gujarat,01-01-2016,2016,321099,High traffic urban area,29
538009,VOLVO,XC 60,D5 AWD AT,DIESEL,Brown,127038,SUV,Automatic,chennai,tamil nadu,01-07-2015,2015,230999,High traffic urban area,70
538026,MARUTI SUZUKI,CIAZ,ZXI AT,PETROL,Silver,80234,SEDAN,Automatic,new delhi,delhi,01-06-2017,2017,407299,High traffic urban area,69
538151,HONDA,AMAZE,1.2 SMT I VTEC,PETROL,White,53615,SEDAN,Manual,delhi,delhi,01-02-2014,2014,175199,High traffic urban area,67
538758,MAHINDRA,BOLERO,ZLX,DIESEL,White Red,45785,SUV,Manual,pune,maharashtra,01-12-2015,2015,231299,High traffic urban area,20
539036,TOYOTA,INNOVA,2.5 VX 7 STR BS IV,DIESEL,Grey,22360,SUV,Manual,new delhi,delhi,01-05-2015,2015,552599,High traffic urban area,25
539123,RENAULT,DUSTER,110 PS RXL,DIESEL,Brown,79151,SUV,Manual,mumbai west,maharashtra,01-01-2015,2015,317299,High traffic urban area,39
539656,MARUTI SUZUKI,CELERIO X(2020-2021),ZXI O,PETROL,White,51433,HATCHBACK,Automatic,delhi,delhi,01-08-2020,2020,236999,Pandemic,50
540482,HONDA,CITY 5TH GEN,VX CVT PETROL BS-VI,PETROL,Cherry Red,14353,SEDAN,Automatic,mumbai,maharashtra,01-02-2021,2021,407799,Pandemic,57
540543,MARUTI SUZUKI,ZEN ESTILO,LXI BS IV,PETROL,Beige,30044,HATCHBACK,Automatic,bangalore south,karnataka,01-01-2010,2010,605099,High traffic urban area,55
540546,HONDA,JAZZ,1.2 S I VTEC,PETROL,Cherry Red,39253,HATCHBACK,Automatic,mumbai,maharashtra,01-08-2016,2016,426399,High traffic urban area,42
540762,HYUNDAI,GRAND I10 NIOS(2019-2023),ASTA 1.2 KAPPA VTVT,PETROL,White,11535,HATCHBACK,Automatic,bengaluru,karnataka,01-08-2019,2019,373599,High traffic urban area,68
540864,HYUNDAI,CRETA,CRDI 1.4 E PLUS,DIESEL,White,72177,SUV,Automatic,vasai,maharashtra,01-03-2018,2018,700000,High traffic urban area,49
541221,HYUNDAI,SANTRO,SPORTZ AMT,PETROL,White,18972,HATCHBACK,Automatic,hyderabad,telangana,01-08-2019,2019,200000,High traffic urban area,59
541249,MARUTI SUZUKI,WAGON R,VXI 1.0 BS-VI,PETROL,Silver,29630,HATCHBACK,Automatic,mumbai,maharashtra,01-08-2021,2021,669799,Pandemic,42
541291,HONDA,AMAZE,1.2 VX CVT PETROL,PETROL,Brown,35371,SEDAN,Automatic,bengaluru,karnataka,01-07-2019,2019,373299,High traffic urban area,29
541295,HONDA,CITY(2017-2020),V PETROL,PETROL,Red,29667,SEDAN,Automatic,mumbai east,maharashtra,01-06-2018,2018,376799,High traffic urban area,47
541303,MG,HECTOR,SHARP 1.5 DCT PETROL,PETROL,White,47485,SUV,Automatic,vasai,maharashtra,01-02-2020,2020,1021411,Pandemic,40
541336,MARUTI SUZUKI,VITARA BREZZA,LDI,DIESEL,Grey,66155,HATCHBACK,Automatic,thane,maharashtra,01-10-2018,2018,238799,High traffic urban area,41
541649,MARUTI SUZUKI,SWIFT,LXI O,PETROL,White,58727,HATCHBACK,Automatic,mumbai,maharashtra,01-06-2016,2016,618199,High traffic urban area,21
541658,MARUTI SUZUKI,SWIFT,VXI,PETROL,Silver,24841,HATCHBACK,Automatic,delhi,delhi,01-01-2018,2018,274399,High traffic urban area,69
541723,HONDA,CITY(2008-2011),1.5 V AT,PETROL,Beige,78000,SEDAN,Automatic,chennai,tamil nadu,01-08-2011,2011,1041510,High traffic urban area,63
541837,MARUTI SUZUKI,CIAZ,VDI MT SHVS,DIESEL,Brown,82294,SEDAN,Automatic,chennai,tamil nadu,01-12-2015,2015,379999,High traffic urban area,50
541873,MAHINDRA,THAR,LX 4-STR CONVERTIBLE DIESEL AT,DIESEL,B.Green,31745,SUV,Automatic,new delhi,delhi,01-01-2021,2021,264999,Pandemic,55
542076,FORD,FIGO(2012-2015),DURATORQ DIESEL EXI 1.4,DIESEL,Chill,85000,HATCHBACK,Automatic,mangaon,maharashtra,01-10-2012,2012,237499,High traffic urban area,30
542153,HONDA,JAZZ,1.2 V I VTEC,PETROL,White,52508,HATCHBACK,Automatic,faridabad,haryana,01-06-2015,2015,156899,High traffic urban area,33
542365,HONDA,CITY,S MT DIESEL,DIESEL,Brown,73080,SEDAN,Manual,hyderabad,telangana,01-09-2015,2015,218999,High traffic urban area,65
542429,HYUNDAI,GRAND I10(2017-2020),SPORTZ O 1.2 KAPPA VTVT,PETROL,Dust,37804,HATCHBACK,Manual,pune,maharashtra,01-01-2017,2017,329499,High traffic urban area,65
542471,HYUNDAI,ELITE I20,MAGNA 1.2,PETROL,Red,69782,HATCHBACK,Manual,mumbai west,maharashtra,01-01-2015,2015,231899,High traffic urban area,31
542501,SKODA,RAPID,1.5 TDI CR ELEGANCE AT,DIESEL,White,46855,SEDAN,Manual,bengaluru,karnataka,01-05-2015,2015,181399,High traffic urban area,45
542504,HYUNDAI,ELITE I20,ASTA 1.4 O CRDI,DIESEL,White,71928,HATCHBACK,Manual,delhi,delhi,01-09-2018,2018,325000,High traffic urban area,57
542703,MARUTI SUZUKI,CIAZ,VDI PLUS MT SHVS,DIESEL,Brown,70067,SEDAN,Manual,vasai,maharashtra,01-06-2015,2015,630899,High traffic urban area,48
542717,MARUTI SUZUKI,VITARA BREZZA,VDi,DIESEL,White,74293,HATCHBACK,Manual,mumbai,maharashtra,01-03-2018,2018,855199,High traffic urban area,22
542969,MARUTI SUZUKI,BALENO,ZETA 1.2,PETROL,Grey,45682,HATCHBACK,Manual,bengaluru,karnataka,01-05-2019,2019,362699,High traffic urban area,36
542970,MARUTI SUZUKI,SWIFT DZIRE,VXI,PETROL,Silver,24685,SEDAN,Manual,chennai,tamil nadu,01-01-2014,2014,812499,High traffic urban area,18
542972,MARUTI SUZUKI,WAGON R 1.0,LXI CNG,PETROL,Grey,23514,HATCHBACK,Manual,hyderabad,telangana,01-04-2017,2017,205799,High traffic urban area,48
543052,MAHINDRA,MARAZZO,M6 PLUS 8 STR,DIESEL,White,29774,MPV,Automatic,hyderabad,telangana,01-10-2020,2020,354199,Pandemic,49
543083,AUDI,Q3,35 TDI QUATTRO PREMIUM PLUS,DIESEL,Milky White,55000,SUV,Automatic,hyderabad,telangana,01-08-2018,2018,332999,High traffic urban area,64
543206,FORD,ECOSPORT,TITANIUM 1.5 TI VCT,PETROL,White,60208,SUV,Manual,pune,maharashtra,01-07-2017,2017,374299,High traffic urban area,50
543207,MARUTI SUZUKI,CELERIO,ZXI AMT,PETROL,Silver,32455,HATCHBACK,Automatic,chennai,tamil nadu,01-05-2016,2016,582599,High traffic urban area,22
543221,HYUNDAI,GRAND I10(2017-2020),SPORTZ O 1.2 KAPPA VTVT,PETROL,Silver,48420,HATCHBACK,Automatic,mehsana,gujarat,01-05-2017,2017,550000,High traffic urban area,50
543228,HYUNDAI,I20(2015-2017),ASTA 1.4 CRDI,DIESEL,White,93033,HATCHBACK,Automatic,mumbai west,maharashtra,01-04-2015,2015,238599,High traffic urban area,38
543317,HYUNDAI,VENUE,SX 1.0 PETROL,PETROL,White,39183,SUV,Automatic,pune,maharashtra,01-10-2020,2020,456999,Pandemic,19
543534,MARUTI SUZUKI,SWIFT,VXI AMT,PETROL,Red,41157,HATCHBACK,Automatic,pune,maharashtra,01-08-2019,2019,826299,High traffic urban area,67
543620,MAHINDRA,MARAZZO,M2 8 STR,DIESEL,Aquamarine,19437,MPV,Automatic,new delhi,delhi,01-08-2021,2021,533599,Pandemic,19
543676,MARUTI SUZUKI,VITARA BREZZA,ZDI,DIESEL,Red,44865,HATCHBACK,Automatic,vadodara,gujarat,01-06-2019,2019,391699,High traffic urban area,36
543743,HONDA,AMAZE,1.2 SMT I VTEC,PETROL,White,65031,SEDAN,Manual,hyderabad,telangana,01-01-2017,2017,317399,High traffic urban area,52
543797,MARUTI SUZUKI,DZIRE,ZXI,PETROL,Grey,30999,SEDAN,Automatic,mumbai,maharashtra,01-01-2021,2021,233699,Pandemic,53
543803,MARUTI SUZUKI,VITARA BREZZA,VXI,PETROL,Silver,12505,SUV,Automatic,delhi,delhi,01-01-2022,2022,1063528,Pandemic,24
543979,MARUTI SUZUKI,SWIFT,VXI 1.2 BS IV,PETROL,Grey,63003,HATCHBACK,Manual,kalyan,maharashtra,01-04-2017,2017,200000,High traffic urban area,52
543987,MARUTI SUZUKI,ALTO 800,LXI,PETROL,Blue,76777,HATCHBACK,Manual,pune,maharashtra,01-01-2017,2017,224499,High traffic urban area,33
544001,TATA,ZEST,XT QUADRAJET 90PS,DIESEL,Grey,30329,SEDAN,Manual,bangalore south,karnataka,01-01-2018,2018,223999,High traffic urban area,47
544019,HYUNDAI,CRETA,1.6 CRDI SX PLUS,DIESEL,White,84718,COMPACTSUV,Automatic,delhi,delhi,01-01-2018,2018,358899,High traffic urban area,25
544087,HONDA,CITY,V MT DIESEL,DIESEL,Grey,89500,SEDAN,Manual,mumbai,maharashtra,01-01-2014,2014,555699,High traffic urban area,44
544089,MARUTI SUZUKI,CELERIO,ZXI MT,PETROL,Red,34498,HATCHBACK,MANUAL,ghaziabad,uttar pradesh,01-07-2016,2016,80000,High traffic urban area,61
544148,MARUTI SUZUKI,S CROSS,1.3 ZETA,DIESEL,Sapphire Silver,131000,SUV,Automatic,bengaluru,karnataka,01-08-2015,2015,505999,High traffic urban area,37
544226,MARUTI SUZUKI,WAGON R,VXI 1.2,PETROL,Grey,58690,HATCHBACK,Automatic,bangalore south,karnataka,01-09-2020,2020,405099,Pandemic,58
544243,MARUTI SUZUKI,ERTIGA,SMART HYBRID VXI,PETROL,White,40333,MPV,Automatic,chennai,tamil nadu,01-01-2021,2021,703899,Pandemic,37
544484,MARUTI SUZUKI,WAGON R 1.0,VXI,PETROL,A Blue,22000,HATCHBACK,Manual,bangalore south,karnataka,01-10-2010,2010,206499,High traffic urban area,32
544712,HYUNDAI,GRAND I10,1.2 KAPPA MAGNA,PETROL,Red,36373,HATCHBACK,Manual,bengaluru,karnataka,01-06-2017,2017,385499,High traffic urban area,21
544771,MAHINDRA,THAR,LX 4-STR HARD TOP DIESEL MT,DIESEL,Black,26399,SUV,Manual,mumbai west,maharashtra,01-05-2021,2021,328599,Pandemic,20
544927,HYUNDAI,GRAND I10(2017-2020),SPORTZ O 1.2 KAPPA VTVT,PETROL,White,46441,HATCHBACK,Manual,faridabad,haryana,01-09-2018,2018,285199,High traffic urban area,26
545308,MARUTI SUZUKI,BALENO,SIGMA,PETROL,Blue,32333,HATCHBACK,Manual,bangalore central,karnataka,01-01-2021,2021,470799,Pandemic,62
545377,HYUNDAI,VERNA,1.6 SX CRDI AT,DIESEL,A Blue,82788,SEDAN,Automatic,delhi,delhi,01-04-2014,2014,310299,High traffic urban area,27
545430,TATA,HARRIER,XT,DIESEL,White,50939,SUV,Automatic,thane,maharashtra,01-05-2019,2019,548299,High traffic urban area,51
545431,TATA,TIGOR(2018-2020),REVOTRON XM,PETROL,Grey,53115,SEDAN,Automatic,ahmedabad,gujarat,01-10-2020,2020,1189172,Pandemic,54
545493,HONDA,WR V,VX MT PETROL,PETROL,Red,18121,SUV,Automatic,delhi,delhi,01-09-2018,2018,400000,High traffic urban area,55
545587,TATA,HARRIER,XT,DIESEL,White,16316,SUV,Automatic,gurgaon,haryana,01-10-2019,2019,647999,High traffic urban area,69
545614,HONDA,AMAZE,1.2 SMT I VTEC,PETROL,Red,32528,SEDAN,Automatic,pune,maharashtra,01-02-2015,2015,383199,High traffic urban area,64
545615,HYUNDAI,GRAND I10,MAGNA U2 1.2 CRDI,PETROL,Red,57851,HATCHBACK,Manual,ghaziabad,uttar pradesh,01-03-2019,2019,732299,High traffic urban area,28
545616,MAHINDRA,SCORPIO(2014-2017),S4 PLUS 1.99 INTELLI-HYBRID,DIESEL,Silver,44297,SUV,Manual,faridabad,haryana,01-06-2017,2017,668299,High traffic urban area,70
545643,TATA,HARRIER,XZA+ 2.0L KRYOTEC BSVI,DIESEL,Black,33163,SUV,Manual,chennai,tamil nadu,01-06-2021,2021,880799,Pandemic,58
545675,HYUNDAI,CRETA,1.6 CRDI SX,DIESEL,White,89000,COMPACTSUV,Manual,mumbai west,maharashtra,01-03-2016,2016,520499,Budget,56
545762,HONDA,CITY,V MT DIESEL,DIESEL,Urban Titanium,85798,SEDAN,Manual,bangalore central,karnataka,01-01-2016,2016,480000,Income issues,26
545775,HONDA,AMAZE,1.2 SMT I VTEC,PETROL,White,30174,SEDAN,Manual,hyderabad,telangana,01-05-2018,2018,524399,Budget,37
545804,FORD,ECOSPORT,TITANIUM 1.5 TDCI,DIESEL,Metallic Silver,88962,SUV,Manual,new delhi,delhi,01-09-2016,2016,247799,Income issues,44
545851,HYUNDAI,TUCSON,2WD AT GL DIESEL,DIESEL,Cherry Red,125901,SUV,Automatic,vasai,maharashtra,01-05-2017,2017,928599,Budget,70
545861,RENAULT,DUSTER(2016-2019),85 PS RXE DIESEL ADVENTURE,DIESEL,Silver,71692,SUV,Automatic,gurgaon,haryana,01-01-2017,2017,264499,Budget,53
545866,MAHINDRA,XUV 500,W10,DIESEL,Rasberry Red,68024,SUV,Automatic,new delhi,delhi,01-02-2018,2018,325799,Budget,55
545958,MARUTI SUZUKI,BALENO,DELTA 1.2,PETROL,Blue,57661,HATCHBACK,Automatic,bengaluru,karnataka,01-01-2019,2019,381599,Budget,50
545961,MARUTI SUZUKI,CELERIO(2017-2019),VXI CNG,CNG,Grey,35636,HATCHBACK,Automatic,mumbai west,maharashtra,01-11-2018,2018,529899,Income issues,50
545965,MARUTI SUZUKI,DZIRE,ZDI PLUS,DIESEL,Brown,33914,SEDAN,Automatic,faridabad,haryana,01-04-2017,2017,252499,Income issues,38
546094,MARUTI SUZUKI,BALENO,ZETA,PETROL,Adriatic Blue,41294,HATCHBACK,Automatic,bangalore central,karnataka,01-08-2020,2020,493599,Budget,64
546096,HYUNDAI,EON,D LITE,PETROL,Red,85610,HATCHBACK,Manual,chennai,tamil nadu,01-08-2014,2014,360699,Budget,19
546098,SKODA,OCTAVIA,1.8 TSI STYLE PLUS AT,PETROL,White,95870,SEDAN,Manual,bengaluru,karnataka,01-04-2017,2017,388199,Income issues,40
546109,NISSAN,TERRANO,XL D PLUS,DIESEL,Silver,81000,SUV,Manual,mumbai,maharashtra,01-03-2015,2015,259499,Budget,57
546218,FORD,ECOSPORT,TITANIUM 1.5 TDCI,DIESEL,Smoke Grey,80199,SUV,Manual,vishakapatnam,andhra pradesh,01-06-2016,2016,492199,Budget,44
546305,HONDA,CITY,1.5 VX MT,DIESEL,Brown,41507,SEDAN,Manual,bengaluru,karnataka,01-08-2018,2018,542499,Budget,49
546423,TOYOTA,INNOVA CRYSTA,TOURING SPORT PETROL AT,PETROL,Red,43785,MPV,Manual,pune,maharashtra,01-05-2017,2017,220899,Budget,43
546435,TOYOTA,COROLLA ALTIS,1.8 G,PETROL,Grey,65242,SEDAN,Manual,hyderabad,telangana,01-05-2016,2016,293099,Budget,24
546599,HONDA,CITY,1.5 E MT,PETROL,Brown,35796,SEDAN,Manual,delhi,delhi,01-08-2014,2014,217299,Income issues,20
546702,MARUTI SUZUKI,BALENO,ALPHA 1.2,PETROL,Blue,71304,HATCHBACK,Manual,thane,maharashtra,01-10-2015,2015,540000,Budget,24
547125,SKODA,RAPID,1.5 TDI CR AMBITION,DIESEL,Brown,72287,SEDAN,Manual,chennai,tamil nadu,01-10-2017,2017,482099,Budget,44
547131,HONDA,AMAZE,1.2 S AT I-VTEC,PETROL,Silver,16708,SEDAN,Manual,noida,uttar pradesh,01-10-2021,2021,523499,Budget,28
547181,MAHINDRA,BOLERO(2007-2011),LX,DIESEL,Red,99854,SUV,Manual,chennai,tamil nadu,01-04-2011,2011,443599,Budget,30
547204,HYUNDAI,CRETA(2020-2023),SX 1.5 DIESEL EXECUTIVE TRIM,DIESEL,White,27821,SUV,Manual,chennai,tamil nadu,01-02-2022,2022,492399,Budget,52
547227,FORD,ASPIRE(2015_2018),TITANIUM 1.2 TI-VCT,PETROL,Smoke Grey,62659,SEDAN,Manual,pune,maharashtra,01-05-2017,2017,344999,Income issues,43
547323,HYUNDAI,CRETA,1.6 VTVT SX PLUS,PETROL,White,71041,COMPACTSUV,Manual,pune,maharashtra,01-11-2016,2016,199299,Budget,43
547548,MARUTI SUZUKI,CIAZ(2018-2020),DELTA 1.3 HYBRID,PETROL,Silky Silver,52058,SEDAN,Manual,delhi,delhi,01-08-2018,2018,232799,Budget,39
547631,MARUTI SUZUKI,WAGON R,LXI 1.0 CNG BS-VI,CNG,Silky Silver,53105,HATCHBACK,Manual,hyderabad,telangana,01-02-2021,2021,302499,Budget,68
547642,AUDI,Q3 2.0,TDI QUATTRO,DIESEL,Black,68583,SUV,Manual,new delhi,delhi,01-09-2014,2014,244699,Income issues,68
547702,RENAULT,KWID,CLIMBER 1.0,PETROL,A Blue,37911,HATCHBACK,Manual,electronic city,karnataka,01-08-2020,2020,346499,Budget,49
547779,HYUNDAI,GRAND I10,SPORTZ 1.2 KAPPA VTVT,PETROL,Grey,34617,HATCHBACK,Manual,sanpada,maharashtra,01-06-2018,2018,252799,Budget,63
547814,MAHINDRA,TUV 300,T4 PLUS,DIESEL,White,88180,SUV,Manual,mumbai east,maharashtra,01-01-2020,2020,476999,Income issues,56
547836,RENAULT,KWID,1.0 RXT,PETROL,Grey,88903,HATCHBACK,Manual,delhi,delhi,01-03-2017,2017,582299,Budget,37
547870,HONDA,AMAZE,1.2 S I-VTEC,PETROL,White,19358,SEDAN,Manual,ahmedabad east,gujarat,01-01-2020,2020,444499,Budget,30
547973,MARUTI SUZUKI,SWIFT(2014_2018),ZXI,PETROL,Red,83766,HATCHBACK,Manual,delhi,delhi,01-07-2015,2015,263899,Budget,19
547980,MARUTI SUZUKI,CELERIO,VDI,DIESEL,White,53708,HATCHBACK,Manual,pune,maharashtra,01-11-2016,2016,531599,Income issues,24
547994,HONDA,WR-V,VX MT PETROL,PETROL,Silver,5759,SUV,Manual,mumbai,maharashtra,01-03-2022,2022,248999,Budget,52
548078,MAHINDRA,TUV 300,T4,DIESEL,Black,85600,SUV,Manual,pune,maharashtra,01-05-2018,2018,422099,Income issues,63
548084,HYUNDAI,I10,MAGNA 1.1 IRDE2,PETROL,Dust,67484,HATCHBACK,Manual,mumbai east,maharashtra,01-03-2014,2014,301199,Income issues,37
548107,HYUNDAI,SANTRO(2018-2020),ERA EXECUTIVE,PETROL,Blue,63706,HATCHBACK,Manual,delhi,delhi,01-10-2020,2020,251099,Income issues,38
548203,MAHINDRA,XUV500,W11,DIESEL,Brown,26781,SUV,Manual,ahmedabad,gujarat,01-07-2020,2020,441799,Income issues,35
548354,HONDA,CITY,1.5 S MT,PETROL,White,65000,SEDAN,Manual,ghaziabad,uttar pradesh,01-11-2014,2014,565699,Budget,28
548508,MARUTI SUZUKI,S CROSS,1.3 ALPHA,DIESEL,Grey,61521,SUV,Manual,new delhi,delhi,01-02-2017,2017,130000,Budget,30
548725,HYUNDAI,GRAND I10,SPORTZ 1.2 KAPPA VTVT,PETROL,Red,62059,HATCHBACK,Manual,mumbai,maharashtra,01-01-2016,2016,397099,Income issues,69
548733,TATA,NEXON,XZA PLUS PETROL,PETROL,Orange,52613,HATCHBACK,Manual,pune,maharashtra,01-06-2018,2018,572699,Income issues,41
548766,HONDA,MOBILIO,S DIESEL,DIESEL,White,65766,MPV,Manual,lucknow,uttar pradesh,01-05-2014,2014,1031006,Budget,63
548829,MARUTI SUZUKI,WAGON R(2019-2022),LXI 1.0 CNG,CNG,White,37396,HATCHBACK,Manual,pune,maharashtra,01-03-2019,2019,199899,Income issues,35
549831,HONDA,AMAZE,SX MT [DIESEL],DIESEL,Silver,127000,SEDAN,Manual,mumbai,maharashtra,01-11-2014,2014,179399,Budget,36
549864,VOLKSWAGEN,VENTO,TRENDLINE PETROL,PETROL,Silver,70000,SEDAN,Manual,chennai,tamil nadu,01-03-2011,2011,307199,Budget,25
549900,HYUNDAI,VERNA,1.6 VTVT SX O,PETROL,Silver,78000,SEDAN,Manual,pune,maharashtra,01-05-2011,2011,575000,Budget,58
549964,HYUNDAI,GRAND I10,SPORTZ 1.2 KAPPA VTVT,PETROL,Maroon,42500,HATCHBACK,Manual,mumbai,maharashtra,01-06-2015,2015,416599,Budget,27
550235,HYUNDAI,ELANTRA(2016-2019),1.6 SX MT,DIESEL,Silver,22350,SEDAN,Manual,ghaziabad,uttar pradesh,01-06-2019,2019,238699,Income issues,65
550328,HONDA,AMAZE,1.2 SMT I VTEC,PETROL,Silver,2015,SEDAN,Manual,new delhi,delhi,01-08-2021,2021,350599,Budget,54
550359,HYUNDAI,I10,MAGNA 1.1 IRDE2,CNG,White,63000,HATCHBACK,Manual,chennai,tamil nadu,01-05-2012,2012,607899,Budget,54
550387,NISSAN,TERRANO,XL D,DIESEL,Black,84956,SUV,Manual,mumbai,maharashtra,01-04-2014,2014,526899,Budget,59
550455,HONDA,BRIO,S MT,PETROL,Urban Titanium,40293,HATCHBACK,Manual,delhi,delhi,01-01-2016,2016,357399,Income issues,42
